VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2000,2000,3.49,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2001,2001,3.47,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2002,2002,3.39,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2003,2003,3.33,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2004,2004,3.26,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2005,2005,3.2,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2006,2006,3.18,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2007,2007,3.14,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2008,2008,3.13,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2009,2009,3.08,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2010,2010,3.05,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2011,2011,2.97,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2012,2012,2.93,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2013,2013,2.89,,
HOPITBED,Total hospital beds,RTOINPNB,Per 1 000 population,USA,United States,2014,2014,2.83,,
